Date,Date Value,Open,High,Low,Close,Volume,Adj Close
2016-11-14,42688,30.74,30.85,30.49,30.51,37141700,30.51
2016-11-11,42685,30.49,30.77,30.370001,30.709999,41490400,30.709999
2016-11-10,42684,29.85,30.84,29.83,30.41,81321100,30.41
2016-11-09,42683,29.32,29.809999,29.07,29.629999,53804500,29.629999
2016-11-08,42682,29.370001,29.620001,29.290001,29.42,35374900,29.42
2016-11-07,42681,28.85,29.33,28.83,29.309999,41254200,29.309999
2016-11-04,42678,28.219999,28.809999,28.219999,28.440001,35864900,28.440001
2016-11-03,42677,28.6,28.6,28.190001,28.280001,23000700,28.280001
2016-11-02,42676,28.860001,28.860001,28.4,28.49,30873300,28.49
2016-11-01,42675,29,29.200001,28.709999,28.879999,32010800,28.879999
